"","id","gender","nat","lang","age","ip","c_mt","w_id","f_t","t_ini","t_end","trials_n","version","id_p","trial","cond","ex1","ex2","ex3","fep","t_in","t1","t2","t_out","t_in_rep","t1_rep","t2_rep","t_out_rep","rt"
"4289",236,"M","United","English",1950,"98.214.27.207","M7KJEGW","A1RK314J53UKIN",1.01667,"12:42:31","12:52:04",22,"amb_A1",236,2,"dist","giraffe","chimp","bison","rhino","chita","capri","hippopotame","frog",1,1,1,0,15199
"4291",236,"M","United","English",1950,"98.214.27.207","M7KJEGW","A1RK314J53UKIN",1.01667,"12:42:31","12:52:04",22,"amb_A1",236,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","white_bear",1,1,0,1,16893
"4328",234,"F","United","English",1968,"24.193.223.99","9R7XAGD","ACDTG2CJ7JI8L",1.4,"12:42:13","12:49:45",22,"amb_A1",234,4,"dist","baobab","juniperus","peach","bux","hyacinth2","chestnut","aster","jellyfish2",1,1,1,0,13960
"4330",234,"F","United","English",1968,"24.193.223.99","9R7XAGD","ACDTG2CJ7JI8L",1.4,"12:42:13","12:49:45",22,"amb_A1",234,2,"filler_no","corynactis","acropora","anthopleura","mussida","dindon","ara","alces","squirrel",0,0,0,0,12753
"4341",234,"F","United","English",1968,"24.193.223.99","9R7XAGD","ACDTG2CJ7JI8L",1.4,"12:42:13","12:49:45",22,"amb_A1",234,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","lycaon",1,1,0,0,19006
"4346",234,"F","United","English",1968,"24.193.223.99","9R7XAGD","ACDTG2CJ7JI8L",1.4,"12:42:13","12:49:45",22,"amb_A1",234,3,"filler_fep","duck","tera","ara","geoglossum","perruche","owl","paon","rouge",1,1,1,0,18179
"4347",236,"M","United","English",1950,"98.214.27.207","M7KJEGW","A1RK314J53UKIN",1.01667,"12:42:31","12:52:04",22,"amb_A1",236,3,"fep","amanite2","hypocreopsis","amanite1","fomitopsis","calocera","amanite3","boletus","corynactis",1,1,1,1,31292
"4350",234,"F","United","English",1968,"24.193.223.99","9R7XAGD","ACDTG2CJ7JI8L",1.4,"12:42:13","12:49:45",22,"amb_A1",234,5,"fep","mycena","vibrissea","mycena2","fomitopsis","calocera","mycena3","boletus","jellyfish3",1,1,1,0,18852
"4352",236,"M","United","English",1950,"98.214.27.207","M7KJEGW","A1RK314J53UKIN",1.01667,"12:42:31","12:52:04",22,"amb_A1",236,11,"filler_fep","mesange","dindon","hawk","cassiopea","pelican","perruche","chouette","pachys",1,1,1,1,55097
"4354",236,"M","United","English",1950,"98.214.27.207","M7KJEGW","A1RK314J53UKIN",1.01667,"12:42:31","12:52:04",22,"amb_A1",236,4,"dist","pears","cephalantera","apples","baobab","cactus2","peach","chestnut","victoria",1,1,1,0,24531
